text,label
"Why is processing a sorted array faster than processing an unsorted array? In this C++ code, sorting the data (before the timed region) makes the primary loop ~6x faster:
#include <algorithm>
#include <ctime>
#include <iostream>

int main()
{
    // ...",115
"How do I undo the most recent local commits in Git? I accidentally committed the wrong files to Git but haven't pushed the commit to the server yet.
How do I undo those commits from the local repository?",25
"How do I delete a Git branch locally and remotely? Failed Attempts to Delete a Remote Branch:
$ git branch -d remotes/origin/bugfix
error: branch 'remotes/origin/bugfix' not found.

$ git branch -d origin/bugfix
error: branch 'origin/bugfix' not found....",25
What is the difference between 'git pull' and 'git fetch'? What are the differences between git pull and git fetch?,25
"What does the ""yield"" keyword do in Python? What functionality does the yield keyword in Python provide?
For example, I'm trying to understand this code1:
def _get_child_candidates(self, distance, min_dist, max_dist):
    if self._leftchild and ...",66
"How can I remove a specific item from an array in JavaScript? How do I remove a specific value from an array? Something like:
array.remove(value);

Constraints: I have to use core JavaScript. Frameworks are not allowed.",105
"How can I rename a local Git branch? How can I rename a local branch which has not yet been pushed to a remote repository?
Related:

Rename master branch for both local and remote Git repositories
How do I rename both a Git local and ...",25
"Which JSON content type do I use? There are many ""standards"" for the JSON content type:
application/json
application/x-javascript
text/javascript
text/x-javascript
text/x-json

Which one do I use, and where? I assume ...",107
"How do I undo 'git add' before commit? I mistakenly added files to Git using the command:
git add myfile.txt

I have not yet run git commit. How do I undo this so that these changes will not be included in the commit?",25
"What is the '-->' operator in C/C++? After reading Hidden Features and Dark Corners of C++/STL on comp.lang.c++.moderated, I was completely surprised that the following snippet compiled and worked in both Visual Studio 2008 and G++ 4.4. ...",37
"How do I force ""git pull"" to overwrite local files? How do I force an overwrite of local files on a git pull? My local repository contains a file of the same filename as on the server.

error: Untracked working tree file 'example.txt' would be ...",25
"Can comments be used in JSON? Can I use comments inside a JSON file? If so, how?",107
"What and where are the stack and heap? What are the stack and heap?
Where are they located physically in a computer's memory?
To what extent are they controlled by the OS or language run-time?
What is their scope?
What determines their ...",96
"Why does HTML think “chucknorris” is a color? Why do certain random strings produce colors when entered as background colors in HTML?
For example, bgcolor=""chucknorris"" produces a red background:


<body bgcolor=""chucknorris""> ...",14
"How to check out a remote Git branch? How do I check out the remote test branch? I can see it with git branch -r. I tried:

git checkout test, which does nothing
git checkout origin/test gives * (no branch)",25
How do I copy a file? How do I copy a file in Python?,66
"How do I POST JSON data with cURL? I use Ubuntu and installed cURL on it. I want to test my Spring REST application with cURL. I wrote my POST code at the Java side. However, I want to test it with cURL. I am trying to post a JSON data....",107
"How do I test for an empty JavaScript object? After an AJAX request, sometimes my application may return an empty object, like:

var a = {};
How can I check whether that's the case?",105
What is __init__.py for? What is __init__.py for in a Python source directory?,66
"Why is char[] preferred over String for passwords? In Swing, the password field has a getPassword() (returns char[]) method instead of the usual getText() (returns String) method. Similarly, I have come across a suggestion not to use String to handle ...",115
"Convert bytes to a string in Python 3 I captured the standard output of an external program into a bytes object:
>>> from subprocess import *
>>> stdout = Popen(['ls', '-l'], stdout=PIPE).communicate()[0]
>>> ...",66
"Why don't Java's +=, -=, *=, /= compound assignment operators require casting? Until today, I thought that for example:

i += j;
Was just a shortcut for:

i = i + j;
But if we try this:

int i = 5;
long j = 8;
Then i = i + j; will not compile but i += j; will compile fine.

Does ...",115
How do I stash only one file out of multiple files that have changed? How do I stash only one of the multiple changed files on my branch?,25
"Get the current URL with JavaScript? All I want is to get the website URL. Not the URL as taken from a link. On the page loading I need to be able to grab the full, current URL of the website and set it as a variable to do with as I ...",105
"Git refusing to merge unrelated histories on rebase During git rebase origin/development the following error message is shown from Git:

fatal: refusing to merge unrelated histories
Error redoing merge 1234deadbeef1234deadbeef
My Git version is 2.9.0. ...",25
"How do I correctly clone a JavaScript object? I have an object x. I'd like to copy it as object y, such that changes to y do not modify x. I realized that copying objects derived from built-in JavaScript objects will result in extra, unwanted ...",105
What is the difference between __str__ and __repr__? What is the difference between __str__ and __repr__ in Python?,66
Iterate through a HashMap [duplicate] What's the best way to iterate over the items in a HashMap?,115
"How can I create a memory leak in Java? I just had an interview where I was asked to create a memory leak with Java.
Needless to say, I felt pretty dumb, having no idea how to start creating one.
What would an example be?",115
What does the explicit keyword mean? What does the explicit keyword mean in C++?,37
"How do I create a remote Git branch? I created a local branch. How do I push it to the remote server?
UPDATE: I have written a simpler answer for Git 2.0 here.",25
"What is the difference between public, protected, package-private and private in Java? In Java, are there clear rules on when to use each of access modifiers, namely the default (package private), public, protected and private, while making class and interface and dealing with ...",115
"How can I pretty-print JSON in a shell script? Is there a (Unix) shell script to format JSON in human-readable form?
Basically, I want it to transform the following:
{ ""foo"": ""lorem"", ""bar"": ""ipsum"" }

... ...",107
"Set cellpadding and cellspacing in CSS? In an HTML table, the cellpadding and cellspacing can be set like this:

<table cellspacing=""1"" cellpadding=""1"">
How can the same be accomplished using CSS?",14
"What is dependency injection? There have been several questions already posted with specific questions about dependency injection, such as when to use it and what frameworks are there for it. However,

What is dependency injection ...",18
"Commit only part of a file's changes in Git When I make changes to a file in Git, how can I commit only some of the changes?

For example, how could I commit only 15 lines out of 30 lines that have been changed in a file?",25
"How do I list all the files in a commit? How can I print a plain list of all files that were part of a given commit?
Although the following lists the files, it also includes unwanted diff information for each:
git show ...",25
"403 Forbidden vs 401 Unauthorized HTTP responses For a web page that exists, but for which a user does not have sufficient privileges (they are not logged in or do not belong to the proper user group), what is the proper HTTP response to serve?

401 ...",70
"Echo newline in Bash prints literal \n How do I print a newline? This merely prints \n:
echo -e ""Hello,\nWorld!""

Output:
Hello,\nWorld!",49
"When to use LinkedList over ArrayList in Java? I've always been one to simply use:
List<String> names = new ArrayList<>();

I use the interface as the type name for portability, so that when I ask questions such as this, I can rework ...",115
"How to check if a string contains a substring in Bash I have a string in Bash:
string=""My string""

How can I test if it contains another string?
if [ $string ?? 'foo' ]; then
  echo ""It's there!""
fi

Where ?? is my unknown operator. ...",109
"How do you push a tag to a remote repository using Git? I added a tag to the master branch on my machine:
git tag mytag master

How do I push this to the remote repository? Running git push gives the message:

Everything up-to-date

However, the remote ...",25
"How do I loop through or enumerate a JavaScript object? I have a JavaScript object like the following:
var p = {
    ""p1"": ""value1"",
    ""p2"": ""value2"",
    ""p3"": ""value3""
};

How do I loop ...",105
"How do I select rows from a DataFrame based on column values? How can I select rows from a DataFrame based on values in some column in Pandas?
In SQL, I would use:
SELECT *
FROM table
WHERE column_name = some_value",66
"How to concatenate string variables in Bash In PHP, strings are concatenated together as follows:
$foo = ""Hello"";
$foo .= "" World"";

Here, $foo becomes ""Hello World"".
How is this accomplished in Bash?",49
"How can I convert a string to boolean in JavaScript? Can I convert a string representing a boolean value (e.g., 'true', 'false') into an intrinsic type in JavaScript?
I have a hidden form in HTML that is updated based on a user's selection within a list....",105
How do I format a date in JavaScript? How do I format a Javascript Date object as a string? (Preferable format: 10-Aug-2010),105
How can I add new keys to a dictionary? How do I add a new key to an existing dictionary? It doesn't have an .add() method.,66
"Does Python have a string 'contains' substring method? I'm looking for a string.contains or string.indexof method in Python.

I want to do:

if not somestring.contains(""blah""):
   continue",66
"Why is the Android emulator so slow? How can we speed up the Android emulator? I have got a 2.67  GHz Celeron processor, and 1.21  GB of RAM on a x86 Windows XP Professional machine.
My understanding is that the Android Emulator should start fairly quickly on such a machine, but ...",98
"How do I copy a folder from remote to local using scp? [closed] How do I copy a folder from remote to local host using scp?
I use ssh to log in to my server.
Then, I would like to copy the remote folder foo to local /home/user/Desktop.
How do I achieve this?",91
"From inside of a Docker container, how do I connect to the localhost of the machine? [closed] I have an Nginx instance running inside a Docker container. I have a MySQL running on the host system. I want to connect to the MySQL from within my container. MySQL is only binding to the localhost ...",59
"How do I convert a String to an int in Java? How can I convert a String value to an int type?
""1234""  →  1234",115
"pretty-print JSON using JavaScript How can I display JSON in an easy-to-read (for human readers) format? I'm looking primarily for indentation and whitespace, with perhaps even colors / font-styles / etc.",105
"How to add images to README.md on GitHub? Recently I joined GitHub. I hosted some projects there.
I need to include some images in my README File. I don't know how to do that.
I searched about this, but all I got was some links which tell me ...",116
How can I delete a file or folder in Python? How can I delete a file or folder in Python?,66
"How can I assign a multiline string literal to a variable? How do I convert this Ruby code with a multiline string into JavaScript?
text = <<""HERE""
This
Is
A
Multiline
String
HERE",105
"Git is not working after macOS update (""xcrun: error: invalid active developer path (/Library/Developer/CommandLineTools"") I updated to the latest OS, and/or restarted my computer (this happens on every major update, but this time all I did was restart my computer on 2022-09-13).
This morning I navigated to my work's ...",97
"What is the difference between call and apply? What is the difference between using Function.prototype.apply() and Function.prototype.call() to invoke a function?
const func = function() {
    alert(""Hello world!"");
};

func.apply() vs. ...",105
"Difference between ""git add -A"" and ""git add ."" What is the difference between git add [--all | -A] and git add .?",25
"""Least Astonishment"" and the Mutable Default Argument Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue:
def foo(a=[]):
    a.append(5)
    return a

Python novices would expect this function called with ...",66
"Case insensitive 'Contains(string)' Is there a way to make the following return true?
string title = ""ASTRINGTOTEST"";
title.Contains(""string"");

There doesn't seem to be an overload that allows me to set the case ...",23
"What does ** (double star/asterisk) and * (star/asterisk) do for parameters? What do *args and **kwargs mean in these function definitions?
def foo(x, y, *args):
    pass

def bar(x, y, **kwargs):
    pass
See What do ** (double star/asterisk) and * (star/asterisk) mean in a ...",66
"What is a serialVersionUID and why should I use it? Eclipse issues warnings when a serialVersionUID is missing.  
  The serializable class Foo does not declare a static final
  serialVersionUID field of type long
What is serialVersionUID and why is it ...",115
How do I make git use the editor of my choice for editing commit messages? How do I globally configure git to use a particular editor (e.g. vim) for commit messages?,25
How do I list all files of a directory? How can I list all files of a directory in Python and add them to a list?,66
What does cherry-picking a commit with Git mean? What does git cherry-pick <commit> do?,25
How can I change an element's class with JavaScript? How can I change the class of an HTML element in response to an onclick or any other events using JavaScript?,105
"What's the problem with ""using namespace std;""? I have heard using namespace std; is wrong, and that I should use std::cout and std::cin directly instead.
Why is this? Does it risk declaring variables that share the same name as something in the ...",37
How do I find out which process is listening on a TCP or UDP port on Windows? [closed] How do I find out which process is listening on a TCP or UDP port on Windows?,63
"AngularJS: Service vs provider vs factory What are the differences between a Service, Provider and Factory in AngularJS?",8
How can I access environment variables in Python? How can I get the value of an environment variable in Python?,66
"How do I sort a dictionary by value? I have a dictionary of values read from two fields in a database: a string field and a numeric field. The string field is unique, so that is the key of the dictionary.

I can sort on the keys, but how ...",66
"Improve INSERT-per-second performance of SQLite Optimizing SQLite is tricky. Bulk-insert performance of a C application can vary from 85 inserts per second to over 96,000 inserts per second!
Background: We are using SQLite as part of a desktop ...",40
"Initialization of an ArrayList in one line I wanted to create a list of options for testing purposes. At first, I did this:

ArrayList<String> places = new ArrayList<String>();
places.add(""Buenos Aires"");
places.add(""Córdoba"");
...",115
"How do I iterate over the words of a string? How do I iterate over the words of a string composed of words separated by whitespace?
Note that I'm not interested in C string functions or that kind of character manipulation/access. I prefer ...",37
"How can I merge properties of two JavaScript objects? I need to be able to merge two (very simple) JavaScript objects at runtime. For example I'd like to:
var obj1 = { food: 'pizza', car: 'ford' }
var obj2 = { animal: 'dog' }

obj1.merge(obj2);

//obj1 ...",105
"How do I clone a list so that it doesn't change unexpectedly after assignment? While using new_list = my_list, any modifications to new_list changes my_list every time. Why is this, and how can I clone or copy the list to prevent it? For example:
>>> my_list = [1, 2, 3]
...",66
"Why does my JavaScript code receive a ""No 'Access-Control-Allow-Origin' header is present on the requested resource"" error, while Postman does not? Mod note: This question is about why XMLHttpRequest/fetch/etc. on the browser are subject to the Same Access Policy restrictions (you get errors mentioning CORB or CORS) while Postman is not. This ...",105
"How can I check if an object is an array? [duplicate] I'm trying to write a function that either accepts a list of strings, or a single string. If it's a string, then I want to convert it to an array with just the one item so I can loop over it without ...",105
